trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
304,False,"{'a': 0.5, 'e': 0.6121655155710133}",20,0,-46.93294704420868,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
305,False,"{'a': 0.5, 'e': 0.6097905754324501}",20,11,1.7501002606836078,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.6074101471828242}",20,0,-43.80111979951263,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
307,False,"{'a': 0.5, 'e': 0.6050242522459737}",30,0,-49.691698281422134,"{0: 20, 1: 7, 2: 2, 3: 1, 4: 0}",0
308,False,"{'a': 0.5, 'e': 0.6026329120949367}",20,0,-47.539156331176656,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.6002361482517589}",20,7,-21.6996171657788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
310,False,"{'a': 0.5, 'e': 0.5978339822872982}",20,0,-55.22917546423195,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
311,False,"{'a': 0.5, 'e': 0.5954264358210324}",20,16,9.633775329637697,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.5930135305208633}",20,0,-60.8418477911003,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
313,False,"{'a': 0.5, 'e': 0.5905952881029224}",20,0,-32.27653160521406,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
314,False,"{'a': 0.5, 'e': 0.588171730331375}",35,0,-61.42900158060414,"{0: 28, 1: 3, 2: 1, 3: 2, 4: 1}",0
315,False,"{'a': 0.5, 'e': 0.5857428790182249}",20,0,-28.556880421670364,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
316,False,"{'a': 0.5, 'e': 0.5833087560231173}",20,3,-75.77522232233477,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
317,False,"{'a': 0.5, 'e': 0.5808693832531429}",20,8,3.551013178922781,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.57842478266264}",25,0,-70.30696939668954,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
319,False,"{'a': 0.5, 'e': 0.5759749762529975}",30,0,-96.66677272431467,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
320,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,0,-23.91455211780163,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.5710598342159123}",20,0,-45.72620526600254,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
322,False,"{'a': 0.5, 'e': 0.5685945428247148}",30,12,1.5015372571070378,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.5661241340864698}",20,0,-66.15639713241532,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
324,False,"{'a': 0.5, 'e': 0.5636486302348394}",20,14,9.33868016262148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.5611680535493414}",30,0,1.1305198476108647,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
326,False,"{'a': 0.5, 'e': 0.5586824263551494}",20,0,12.26218928983903,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
327,False,"{'a': 0.5, 'e': 0.5561917710228914}",20,15,10.986748008575669,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.5536961099684484}",25,0,-3.5039105977296217,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
329,False,"{'a': 0.5, 'e': 0.5511954656527531}",25,12,-24.713690323950214,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.5486898605815875}",25,13,-75.94088422855118,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
331,False,"{'a': 0.5, 'e': 0.5461793173053804}",30,6,-83.59514888160857,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.5436638584190042}",30,21,16.989712811520054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.5411435065615721}",20,0,-24.300871793616086,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
334,False,"{'a': 0.5, 'e': 0.5386182844162335}",35,0,-0.8910560969176955,"{0: 29, 1: 4, 2: 2, 3: 0, 4: 0}",0
335,False,"{'a': 0.5, 'e': 0.5360882147099707}",25,8,-44.64831783248407,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.5335533202133944}",20,5,19.433794408744802,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
